Year,Award,Winner,Name,Film
1928,Actor in a Leading Role,1,Emil Jannings,The Last Command
1928,Actress in a Leading Role,1,Janet Gaynor,7th Heaven
1928,Actor in a Leading Role,0,Richard Barthelmess,The Noose
1928,Actress in a Leading Role,0,Louise Dresser,A Ship Comes In
1928,Actress in a Leading Role,0,Gloria Swanson,Sadie Thompson
1929,Actor in a Leading Role,1,Warner Baxter,In Old Arizona
1929,Actress in a Leading Role,1,Mary Pickford,Coquette
1929,Actor in a Leading Role,0,George Bancroft,Thunderbolt
1929,Actor in a Leading Role,0,Chester Morris,Alibi
1929,Actor in a Leading Role,0,Paul Muni,The Valiant
1929,Actor in a Leading Role,0,Lewis Stone,The Patriot
1929,Actress in a Leading Role,0,Ruth Chatterton,Madame X
1929,Actress in a Leading Role,0,Betty Compson,The Barker
1929,Actress in a Leading Role,0,Jeanne Eagels,The Letter
1929,Actress in a Leading Role,0,Corinne Griffith,The Divine Lady
1929,Actress in a Leading Role,0,Bessie Love,The Broadway Melody
1930,Actor in a Leading Role,1,George Arliss,Disraeli
1930,Actress in a Leading Role,1,Norma Shearer,The Divorcee
1930,Actor in a Leading Role,0,George Arliss,The Green Goddess
1930,Actor in a Leading Role,0,Wallace Beery,The Big House
1930,Actor in a Leading Role,0,Maurice Chevalier,The Big Pond
1930,Actor in a Leading Role,0,Ronald Colman,Bulldog Drummond
1930,Actor in a Leading Role,0,Lawrence Tibbett,The Rogue Song
1930,Actress in a Leading Role,0,Nancy Carroll,The Devil's Holiday
1930,Actress in a Leading Role,0,Ruth Chatterton,Sarah and Son
1930,Actress in a Leading Role,0,Greta Garbo,Anna Christie
1930,Actress in a Leading Role,0,Norma Shearer,Their Own Desire
1930,Actress in a Leading Role,0,Gloria Swanson,The Trespasser
1931,Actor in a Leading Role,1,Lionel Barrymore,A Free Soul
1931,Actress in a Leading Role,1,Marie Dressler,Min and Bill
1931,Actor in a Leading Role,0,Jackie Cooper,Skippy
1931,Actor in a Leading Role,0,Richard Dix,Cimarron
1931,Actor in a Leading Role,0,Fredric March,The Royal Family of Broadway
1931,Actor in a Leading Role,0,Adolphe Menjou,The Front Page
1931,Actress in a Leading Role,0,Marlene Dietrich,Morocco
1931,Actress in a Leading Role,0,Irene Dunne,Cimarron
1931,Actress in a Leading Role,0,Ann Harding,Holiday
1931,Actress in a Leading Role,0,Norma Shearer,A Free Soul
1932,Actor in a Leading Role,1,Wallace Beery,The Champ
1932,Actor in a Leading Role,1,Fredric March,Dr. Jekyll and Mr. Hyde
1932,Actress in a Leading Role,1,Helen Hayes,The Sin of Madelon Claudet
1932,Actor in a Leading Role,0,Alfred Lunt,The Guardsman
1932,Actress in a Leading Role,0,Marie Dressler,Emma
1932,Actress in a Leading Role,0,Lynn Fontanne,The Guardsman
1933,Actor in a Leading Role,1,Charles Laughton,The Private Life of Henry VIII
1933,Actress in a Leading Role,1,Katharine Hepburn,Morning Glory
1933,Actor in a Leading Role,0,Leslie Howard,Berkeley Square
1933,Actor in a Leading Role,0,Paul Muni,I Am a Fugitive from a Chain Gang
1933,Actress in a Leading Role,0,May Robson,Lady for a Day
1933,Actress in a Leading Role,0,Diana Wynyard,Cavalcade
1934,Actor in a Leading Role,1,Clark Gable,It Happened One Night
1934,Actress in a Leading Role,1,Claudette Colbert,It Happened One Night
1934,Actor in a Leading Role,0,Frank Morgan,The Affairs of Cellini
1934,Actor in a Leading Role,0,William Powell,The Thin Man
1934,Actress in a Leading Role,0,Bette Davis,Of Human Bondage
1934,Actress in a Leading Role,0,Grace Moore,One Night of Love
1934,Actress in a Leading Role,0,Norma Shearer,The Barretts of Wimpole Street
1935,Actor in a Leading Role,1,Victor McLaglen,The Informer
1935,Actress in a Leading Role,1,Bette Davis,Dangerous
1935,Actor in a Leading Role,0,Clark Gable,Mutiny on the Bounty
1935,Actor in a Leading Role,0,Charles Laughton,Mutiny on the Bounty
1935,Actor in a Leading Role,0,Paul Muni,Black Fury
1935,Actor in a Leading Role,0,Franchot Tone,Mutiny on the Bounty
1935,Actress in a Leading Role,0,Elisabeth Bergner,Escape Me Never
1935,Actress in a Leading Role,0,Claudette Colbert,Private Worlds
1935,Actress in a Leading Role,0,Katharine Hepburn,Alice Adams
1935,Actress in a Leading Role,0,Miriam Hopkins,Becky Sharp
1935,Actress in a Leading Role,0,Merle Oberon,The Dark Angel
1936,Actor in a Leading Role,1,Paul Muni,The Story of Louis Pasteur
1936,Actor in a Supporting Role,1,Walter Brennan,Come and Get It
1936,Actress in a Leading Role,1,Luise Rainer,The Great Ziegfeld
